price,direction,strong,extras,link,scrapping_date,scrapping_page,description,time_ago,price_reduction,inmobiliario
2.000 € /mes,Piso con terraza en Centro,Piso,"['5 habs.', '2 baños', '135 m²', 'Ascensor', 'Terraza', 'Balcón']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/terraza-ascensor-amueblado-television/181948135/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Fantástico piso de 130 metros catastrales y unos 100 m2 útiles ubicado en uno de los mejores barrios de Málaga.

Cuenta con amplio salón comedor con cocina inte... Leer más",Hace 32 días,Ha bajado 400 €,"<span class=""re-CardPromotionBanner-title""><span class=""re-CardPromotionBanner-title-name"">CASA PLUS EMBARGOS BANCARIOS Y OPORTUNIDADES</span> · <span class=""re-CardPromotionBanner-title-description"">Experto inmobiliario</span></span>"
1.150 € /mes,"Piso con ascensor en Calle Salitre, Centro",Piso,"['1 hab.', '1 baño', '60 m²', '4ª Planta', 'Ascensor', 'Aire acondicionado']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-zona-comunitaria-ascensor/179061076/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"¡Tu hogar ideal te espera junto al paseo marítimo de Huelin, la estación de tren y autobús María Zambrano, a solo un paso del centro! Descubre nuestros modernos... Leer más",Hace 90 días,,"<span class=""re-CardPromotionBanner-title""><span class=""re-CardPromotionBanner-title-name"">GRUPO ANSAN</span> · <span class=""re-CardPromotionBanner-title-description"">Experto inmobiliario</span></span>"
950 € /mes,Piso con terraza en Carretera de Cádiz,Piso,"['3 habs.', '1 baño', '81 m²', '3ª Planta', 'Ascensor', 'Terraza']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/terraza-ascensor-se-aceptan-mascotas-no-amueblado/182307334/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"¡ALTA DE SUMINISTROS GRATIS!


Excelente vivienda de tres dormitorios y un baño. Se encuentra en la 3ª planta de un edificio residencial. Dispone de ascensor... Leer más",Hace 4 días,,"<span class=""re-CardPromotionBanner-title""><span class=""re-CardPromotionBanner-title-name"">Alquila Tu Hogar</span> · <span class=""re-CardPromotionBanner-title-description"">Experto inmobiliario</span></span>"
1.350 € /mes,"Piso con ascensor en Calle Salitre, Centro",Piso,"['2 habs.', '2 baños', '88 m²', 'Ascensor', 'Aire acondicionado']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-zona-comunitaria-ascensor/181416855/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Tu hogar ideal te espera junto al paseo marítimo de Huelin, la estación de tren y autobús María Zambrano, a solo un paso del centro! Descubre nuestros modernos ... Leer más",Hace 86 días,,"<span class=""re-CardPromotionBanner-title""><span class=""re-CardPromotionBanner-title-name"">GRUPO ANSAN</span> · <span class=""re-CardPromotionBanner-title-description"">Experto inmobiliario</span></span>"
1.850 € /mes,Piso con 1 baño en Centro,Piso,"['3 habs.', '1 baño', '112 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/centro-historico/181177027/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,Se alquila elegante y luminosa vivienda haciendo esquina a escasos metros de la Plaza de la Constitución. El inmueble se encuentra ubicado en un edificio histór... Leer más,Novedad,Ha bajado 350 €,"<span class=""re-CardPromotionBanner-title""><span class=""re-CardPromotionBanner-title-name"">Y-LEVEN PROFESIONALES INMOBILIARIOS</span> · <span class=""re-CardPromotionBanner-title-description"">Experto inmobiliario</span></span>"
1.250 € /mes,"Piso con ascensor en Calle María Casares, Teatinos - Universidad",Piso,"['3 habs.', '2 baños', '100 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/parking-zona-comunitaria-ascensor-amueblado-piscina/182342524/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Corre, corre... ¡que las oportunidades así vuelan! Esta vivienda le va a encantar, y no solo por su interior sino por la cantidad de añadidos que le ofrece el r... Leer más",Hace 3 días,,"<span class=""re-CardPromotionBanner-title""><span class=""re-CardPromotionBanner-title-name"">Abcinmobiliaria</span> · <span class=""re-CardPromotionBanner-title-description"">Experto inmobiliario</span></span>"
1.300 € /mes,"Piso con ascensor en Calle de Demóstenes, Teatinos - Universidad",Piso,"['3 habs.', '1 baño', '85 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/zona-comunitaria-ascensor-amueblado-television-piscina/182214218/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"SE ALQUILA JULIO Y AGOSTO 
¿Sabias qué? a TEATINOS El nombre le viene de la orden religiosa de los Teatinos, porque se dice que fueron estos monjes los que prim... Leer más",Hace 11 días,,"<span class=""re-CardPromotionBanner-title""><span class=""re-CardPromotionBanner-title-name"">Abcinmobiliaria</span> · <span class=""re-CardPromotionBanner-title-description"">Experto inmobiliario</span></span>"
1.800 € /mes,Piso con terraza en Churriana,Piso,"['1 hab.', '1 baño', '71 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-parking-jardin-terraza-ascensor-piscina/182328851/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"Precioso piso de un dormitorio en Guadalmar. La vivienda está completamente reformada con acabados de alta calidad. Recinto privado con piscina comunitaria, zon... Leer más",Hace 4 días,,"<span class=""re-CardPromotionBanner-title""><span class=""re-CardPromotionBanner-title-name"">PROPERTALIA</span> · <span class=""re-CardPromotionBanner-title-description"">Experto inmobiliario</span></span>"
1.250 € /mes,"Piso con aire acondicionado en Calle Madre de Dios, Centro",Piso,"['3 habs.', '1 baño', '100 m²']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-amueblado-television/179758060/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,Ha llegado la oportunidad de mudarte a una de las calles más céntricas de la ciudad. Disfruta de esta vivienda a solo 2 minutos de la Plaza de la Merced y junto... Leer más,Hace 60 días,Ha bajado 250 €,"<span class=""re-CardPromotionBanner-title""><span class=""re-CardPromotionBanner-title-name"">Abcinmobiliaria</span> · <span class=""re-CardPromotionBanner-title-description"">Experto inmobiliario</span></span>"
850 € /mes,"Estudio con aire acondicionado en Calle Dos Aceras, Centro",Estudio,"['1 baño', '40 m²', '2ª Planta']",https://www.fotocasa.es/es/alquiler/vivienda/malaga-capital/aire-acondicionado-zona-comunitaria-amueblado-se-aceptan-mascotas/182029997/d?from=list,17-03-2024 | 11:37,https://www.fotocasa.es/es/alquiler/viviendas/malaga-capital/todas-las-zonas/l,"""GRAN OPORTUNIDAD! Estudio junto a Plaza de La Merced por 850€.
Consta de 45 m2.

Moderno y luminoso salón-comedor con sofá-cama, cama de matrimonio y armario. ... Leer más",Hace 24 días,,"<span class=""re-CardPromotionBanner-title""><span class=""re-CardPromotionBanner-title-name"">Rentacasa Alquileres</span> · <span class=""re-CardPromotionBanner-title-description"">Experto inmobiliario</span></span>"
