,city,district,type,rental_cost,price_reduction_amount,dimension,rooms,bathrooms,elevator,terrace,air_conditioning,balcony,pool,floor,scraping_date
0,Barcelona,Sants - Montjuïc,Piso,1100.0,140,63,3,1,1,0,0,0,0,,17-03-2024 | 13:15
1,Barcelona,Horta - Guinardó,Piso,1140.0,0,67,3,1,0,1,0,0,0,bajo,17-03-2024 | 13:15
2,Barcelona,Eixample,Piso,1600.0,0,84,3,1,1,0,1,0,0,4ª,17-03-2024 | 13:15
3,Barcelona,Eixample,Piso,1700.0,290,115,4,2,1,0,0,1,0,,17-03-2024 | 13:15
4,Barcelona,Sants - Montjuïc,Piso,1395.0,0,53,2,1,1,0,0,0,0,7ª,17-03-2024 | 13:15
5,Barcelona,Ciutat Vella,Piso,990.0,0,30,1,1,0,0,1,0,0,bajo,17-03-2024 | 13:15
6,Barcelona,Eixample,Piso,1340.0,0,65,2,1,0,0,0,1,0,2ª,17-03-2024 | 13:15
7,Barcelona,Ciutat Vella,Piso,850.0,0,32,1,2,0,0,0,0,0,1ª,17-03-2024 | 13:15
8,Barcelona,Gràcia,Piso,1400.0,245,101,4,2,1,0,0,0,0,,17-03-2024 | 13:15
9,Barcelona,Sant Martí,Piso,1550.0,200,77,3,2,1,0,0,0,0,,17-03-2024 | 13:15
10,Barcelona,Sarrià - Sant Gervasi,Piso,2000.0,0,130,3,1,1,0,0,1,0,6ª,17-03-2024 | 13:15
11,Barcelona,Sarrià - Sant Gervasi,Piso,4900.0,0,144,3,2,1,1,0,0,0,,17-03-2024 | 13:15
12,Barcelona,Ciutat Vella,Piso,1050.0,0,40,1,1,0,0,1,0,0,,17-03-2024 | 13:15
13,Barcelona,Eixample,Ático,1975.0,0,99,2,2,1,0,1,1,0,7ª,17-03-2024 | 13:15
14,Barcelona,Ciutat Vella,Piso,1250.0,0,37,1,1,0,0,1,0,0,,17-03-2024 | 13:15
15,Barcelona,Eixample,Piso,4500.0,0,255,4,2,1,0,1,1,0,,17-03-2024 | 13:15
16,Barcelona,Sarrià - Sant Gervasi,Piso,3800.0,200,243,5,4,1,1,1,0,0,,17-03-2024 | 13:15
17,Barcelona,Ciutat Vella,Piso,1400.0,0,63,1,1,1,0,1,1,0,,17-03-2024 | 13:15
18,Barcelona,Sarrià - Sant Gervasi,Piso,2000.0,0,68,2,2,1,0,1,0,0,,17-03-2024 | 13:15
19,Barcelona,Ciutat Vella,Piso,2500.0,0,174,3,2,1,0,0,1,0,3ª,17-03-2024 | 13:15
20,Barcelona,Sarrià - Sant Gervasi,Estudio,1800.0,0,40,1,1,1,1,0,1,0,7ª,17-03-2024 | 13:15
21,Barcelona,Les Corts,Piso,1350.0,0,84,2,1,1,0,1,1,0,1ª,17-03-2024 | 13:15
22,Barcelona,Sants - Montjuïc,Ático,1250.0,0,75,2,1,1,0,1,0,0,15,17-03-2024 | 13:15
23,Barcelona,Gràcia,Piso,2200.0,200,80,3,1,1,0,1,1,0,2ª,17-03-2024 | 13:15
24,Barcelona,Sarrià - Sant Gervasi,Piso,3450.0,0,107,4,3,1,1,0,0,0,5ª,17-03-2024 | 13:15
25,Barcelona,Sarrià - Sant Gervasi,Piso,2600.0,0,66,2,1,1,1,0,0,0,1ª,17-03-2024 | 13:15
26,Barcelona,Gràcia,Piso,1700.0,100,42,1,1,1,0,0,0,0,2ª,17-03-2024 | 13:15
27,Barcelona,Horta - Guinardó,Piso,1100.0,0,85,2,1,1,0,1,0,0,4ª,17-03-2024 | 13:15
28,Barcelona,Ciutat Vella,Piso,4000.0,0,135,3,2,1,0,1,0,0,4ª,17-03-2024 | 13:15
29,Barcelona,Eixample,Piso,6000.0,0,238,5,4,1,1,0,1,0,,17-03-2024 | 13:15
30,Barcelona,Les Corts,Piso,1950.0,0,146,4,2,1,1,0,0,0,2ª,17-03-2024 | 13:15
31,Barcelona,Sant Martí,Piso,2860.0,0,103,2,2,1,1,0,0,0,1ª,17-03-2024 | 13:15
32,Barcelona,Eixample,Piso,1700.0,0,68,2,1,1,0,0,1,0,1ª,17-03-2024 | 13:15
33,Barcelona,Sarrià - Sant Gervasi,Piso,2600.0,0,155,3,2,1,0,0,0,0,1ª,17-03-2024 | 13:15
34,Barcelona,Eixample,Piso,2600.0,0,50,2,1,1,0,1,0,0,1ª,17-03-2024 | 13:15
35,Barcelona,Eixample,Piso,2580.0,120,115,4,2,1,0,0,1,0,3ª,17-03-2024 | 13:15
36,Barcelona,Sant Martí,Loft,2860.0,0,88,2,2,1,0,1,0,0,2ª,17-03-2024 | 13:15
37,Barcelona,Sarrià - Sant Gervasi,Piso,2800.0,0,128,3,2,1,1,0,1,0,1ª,17-03-2024 | 13:15
38,Barcelona,Eixample,Piso,2400.0,0,138,3,2,1,1,0,0,0,6ª,17-03-2024 | 13:15
39,Barcelona,Eixample,Piso,1700.0,700,70,2,1,1,0,0,1,0,,17-03-2024 | 13:15
40,Barcelona,Les Corts,Piso,1600.0,0,113,3,1,1,0,0,1,0,1ª,17-03-2024 | 13:15
41,Barcelona,Sant Martí,Piso,1600.0,0,72,3,1,1,1,1,0,0,15,17-03-2024 | 13:15
42,Barcelona,Eixample,Piso,2000.0,350,98,4,2,1,0,1,0,0,3ª,17-03-2024 | 13:15
43,Barcelona,Eixample,Piso,2900.0,900,177,3,1,1,0,0,1,0,1ª,17-03-2024 | 13:15
44,Barcelona,Eixample,Piso,4700.0,500,234,6,3,1,0,0,1,0,1ª,17-03-2024 | 13:15
45,Barcelona,Sarrià - Sant Gervasi,Ático,1400.0,0,45,1,1,1,0,1,0,0,,17-03-2024 | 13:15
46,Barcelona,Eixample,Piso,1400.0,0,53,1,1,1,0,1,0,0,,17-03-2024 | 13:15
47,Barcelona,Ciutat Vella,Piso,1050.0,0,34,1,1,0,0,1,1,0,4ª,17-03-2024 | 13:15
48,Barcelona,Gràcia,Piso,900.0,0,54,2,1,1,0,1,0,0,2ª,17-03-2024 | 13:15
49,Barcelona,Ciutat Vella,Piso,990.0,0,27,1,1,0,0,1,0,0,3ª,17-03-2024 | 13:15
50,Barcelona,Les Corts,Estudio,1295.0,0,25,0,1,1,1,1,0,0,9ª,17-03-2024 | 13:15
51,Barcelona,Eixample,Piso,1250.0,100,66,1,2,1,0,0,1,0,,17-03-2024 | 13:15
52,Barcelona,Sarrià - Sant Gervasi,Casa o chalet,7800.0,2700,200,3,3,1,1,0,0,1,,17-03-2024 | 13:15
53,Barcelona,Eixample,Piso,1825.0,0,130,4,2,1,1,0,1,0,2ª,17-03-2024 | 13:15
54,Barcelona,Eixample,Piso,4700.0,0,190,4,3,1,1,0,1,0,,17-03-2024 | 13:15
55,Barcelona,Sants - Montjuïc,Piso,2200.0,0,100,4,2,1,0,1,1,0,4ª,17-03-2024 | 13:15
56,Barcelona,Nou Barris,Piso,1890.0,0,80,3,2,1,0,1,0,0,,17-03-2024 | 13:15
57,Barcelona,Eixample,Piso,1995.0,0,93,3,2,1,1,1,0,0,bajo,17-03-2024 | 13:15
58,Barcelona,Gràcia,Piso,1330.0,0,80,1,1,0,0,1,0,0,bajo,17-03-2024 | 13:15
59,Barcelona,Horta - Guinardó,Piso,1995.0,0,138,4,3,1,1,1,0,0,,17-03-2024 | 13:15
60,Barcelona,Ciutat Vella,Piso,1850.0,0,109,3,1,0,0,1,0,0,2ª,17-03-2024 | 13:16
61,Barcelona,Eixample,Ático,2800.0,0,105,3,2,1,1,1,0,0,,17-03-2024 | 13:16
62,Barcelona,Eixample,Piso,1790.0,0,100,5,2,1,0,0,1,0,7ª,17-03-2024 | 13:16
