rental_cost,price_reduction_amount,dimension,rooms,bathrooms,elevator,terrace,air_conditioning,balcony,pool,city,district,type,floor,scraping_date
1100.0,,63.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:15
1395.0,0.0,53.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,7ª,17-03-2024 | 13:15
1250.0,0.0,75.0,2.0,1.0,1.0,0.0,,0.0,0.0,Barcelona,Sants - Montjuïc,Ático,15,17-03-2024 | 13:15
2200.0,0.0,100.0,4.0,2.0,1.0,0.0,,,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:15
1300.0,,56.0,2.0,1.0,1.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:16
1500.0,0.0,98.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:16
826.0,0.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Estudio,,17-03-2024 | 13:16
826.0,0.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Estudio,,17-03-2024 | 13:16
1500.0,0.0,90.0,3.0,2.0,0.0,0.0,,0.0,0.0,Barcelona,Sants - Montjuïc,Dúplex,,17-03-2024 | 13:16
1600.0,,113.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,8ª,17-03-2024 | 13:16
1300.0,0.0,70.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:17
1000.0,,55.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,5ª,17-03-2024 | 13:17
2990.0,,143.0,3.0,,0.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:17
1450.0,,96.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,2ª,17-03-2024 | 13:17
1500.0,0.0,130.0,4.0,1.0,0.0,0.0,,0.0,0.0,Barcelona,Sants - Montjuïc,Dúplex,,17-03-2024 | 13:18
1750.0,0.0,45.0,1.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,,17-03-2024 | 13:18
1600.0,0.0,58.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,3ª,17-03-2024 | 13:18
1150.0,,54.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:19
1500.0,0.0,84.0,3.0,1.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,2ª,17-03-2024 | 13:19
1880.0,0.0,54.0,2.0,1.0,0.0,0.0,,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,,17-03-2024 | 13:19
1385.0,0.0,63.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:19
1150.0,0.0,55.0,2.0,1.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:19
1250.0,,90.0,0.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Dúplex,,17-03-2024 | 13:20
800.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Estudio,,17-03-2024 | 13:20
1150.0,0.0,35.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,2ª,17-03-2024 | 13:20
535.0,0.0,75.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:20
2300.0,0.0,100.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,3ª,17-03-2024 | 13:20
1100.0,0.0,45.0,2.0,1.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:20
2500.0,0.0,120.0,3.0,2.0,1.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Ático,,17-03-2024 | 13:20
1600.0,0.0,89.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:20
1400.0,0.0,30.0,1.0,1.0,0.0,,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:21
1350.0,0.0,110.0,3.0,2.0,1.0,0.0,,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:21
