,city,district,type,rental_cost,price_reduction_amount,dimension,rooms,bathrooms,elevator,terrace,air_conditioning,balcony,pool,floor,scraping_date
0,Madrid,Chamartin,Piso,5000.0,0,315,4,5,1,1,1,0,0,9ª,16-03-2024 | 13:24
1,Madrid,Salamanca,Ático,2600.0,0,34,1,1,1,1,0,0,0,4ª,16-03-2024 | 13:24
2,Madrid,Salamanca,Piso,2900.0,0,60,1,1,1,1,0,0,0,1ª,16-03-2024 | 13:24
3,Madrid,Salamanca,Piso,2450.0,0,90,1,1,1,0,1,1,0,4ª,16-03-2024 | 13:24
4,Madrid,Salamanca,Piso,3550.0,0,100,2,2,1,1,0,0,0,1ª,16-03-2024 | 13:24
5,Madrid,Salamanca,Piso,2900.0,0,60,1,1,1,1,0,0,0,3ª,16-03-2024 | 13:24
6,Madrid,Arganzuela,Piso,1700.0,0,96,2,2,1,0,1,0,0,5ª,16-03-2024 | 13:24
7,Madrid,Salamanca,Piso,5900.0,500,332,5,3,1,1,1,0,0,,16-03-2024 | 13:24
8,Madrid,Chamberi,Piso,2400.0,0,170,3,2,1,0,1,0,0,2ª,16-03-2024 | 13:24
9,Madrid,Retiro,Piso,2500.0,0,100,3,2,1,0,1,0,0,3ª,16-03-2024 | 13:24
10,Madrid,Villaverde,Piso,870.0,50,58,2,1,1,0,0,0,0,,16-03-2024 | 13:24
11,Madrid,Retiro,Piso,1750.0,0,120,3,2,1,1,0,1,0,7ª,16-03-2024 | 13:24
12,Madrid,Salamanca,Piso,1100.0,0,50,1,1,1,0,1,0,0,2ª,16-03-2024 | 13:24
13,Madrid,Chamartin,Piso,2790.0,210,150,3,2,1,0,1,0,0,8ª,16-03-2024 | 13:24
14,Madrid,Chamberi,Piso,1950.0,0,74,2,2,1,0,1,0,1,bajo,16-03-2024 | 13:24
15,Madrid,Puente de Vallecas,Dúplex,850.0,0,75,1,2,0,0,1,0,0,bajo,16-03-2024 | 13:24
16,Madrid,Villaverde,Piso,990.0,0,58,3,1,0,0,0,0,0,,16-03-2024 | 13:24
17,Madrid,Ciudad Lineal,Piso,1415.0,115,101,2,2,1,1,0,0,1,,16-03-2024 | 13:24
18,Madrid,Arganzuela,Piso,1100.0,0,52,2,1,1,0,1,0,0,,16-03-2024 | 13:24
19,Madrid,Ciudad Lineal,Piso,750.0,0,49,1,1,0,0,0,0,0,2ª,16-03-2024 | 13:24
20,Madrid,Villaverde,Piso,1000.0,0,72,3,1,0,1,0,0,0,3ª,16-03-2024 | 13:24
21,Madrid,Puente de Vallecas,Piso,980.0,0,60,3,1,0,0,0,0,0,,16-03-2024 | 13:24
22,Madrid,Villaverde,Piso,870.0,80,57,2,1,1,0,0,0,0,,16-03-2024 | 13:24
23,Madrid,Fuencarral-El Pardo,Piso,1200.0,100,88,3,1,1,1,0,0,0,4ª,16-03-2024 | 13:24
24,Madrid,Arganzuela,Piso,825.0,70,54,1,1,0,0,0,0,0,1ª,16-03-2024 | 13:24
25,Madrid,Chamberi,Piso,2000.0,0,107,3,2,1,0,1,0,0,7ª,16-03-2024 | 13:24
26,Madrid,Hortaleza,Piso,1995.0,130,93,2,2,1,0,1,0,0,2ª,16-03-2024 | 13:24
27,Madrid,Hortaleza,Piso,1840.0,0,51,1,1,1,0,1,0,0,3ª,16-03-2024 | 13:24
28,Madrid,Villaverde,Planta baja,1895.0,0,80,2,1,1,1,0,0,0,bajo,16-03-2024 | 13:24
29,Madrid,Retiro,Piso,1750.0,50,105,3,2,0,0,1,0,0,5ª,16-03-2024 | 13:24
30,Madrid,Retiro,Piso,1950.0,0,94,3,1,1,0,1,0,0,4ª,16-03-2024 | 13:24
31,Madrid,Hortaleza,Ático,1499.0,26,60,2,1,1,1,0,0,0,5ª,16-03-2024 | 13:24
32,Madrid,Villaverde,Piso,1465.0,0,45,1,1,1,0,1,0,0,6ª,16-03-2024 | 13:24
33,Madrid,Hortaleza,Piso,1125.0,0,64,1,1,1,0,0,0,0,4ª,16-03-2024 | 13:24
34,Madrid,Salamanca,Dúplex,1800.0,115,85,1,2,1,0,1,0,0,bajo,16-03-2024 | 13:24
35,Madrid,Chamartin,Piso,1700.0,0,60,2,1,0,0,1,1,0,1ª,16-03-2024 | 13:24
36,Madrid,Chamartin,Piso,1500.0,0,68,2,1,1,0,0,0,0,2ª,16-03-2024 | 13:24
37,Madrid,Centro,Ático,1500.0,500,90,3,1,1,0,0,0,0,4ª,16-03-2024 | 13:24
38,Madrid,Villaverde,Piso,955.0,0,45,1,1,1,0,0,0,0,6ª,16-03-2024 | 13:24
39,Madrid,Vicálvaro,Piso,1235.0,0,85,2,2,1,0,1,0,0,5ª,16-03-2024 | 13:24
40,Madrid,Salamanca,Piso,1950.0,0,70,2,2,1,0,1,0,0,,16-03-2024 | 13:24
41,Madrid,Latina,Piso,950.0,45,54,1,1,0,0,1,0,0,bajo,16-03-2024 | 13:24
42,Madrid,Centro,Piso,4675.0,0,145,3,3,1,0,1,0,0,3ª,16-03-2024 | 13:24
43,Madrid,Centro,Piso,2400.0,0,50,1,1,1,0,0,1,0,3ª,16-03-2024 | 13:24
44,Madrid,Centro,Piso,2300.0,0,50,1,1,1,0,0,1,0,1ª,16-03-2024 | 13:24
45,Madrid,Salamanca,Piso,12000.0,0,415,4,5,1,0,1,0,0,7ª,16-03-2024 | 13:24
46,Madrid,Moncloa-Aravaca,Piso,2300.0,0,73,2,2,1,0,1,0,0,5ª,16-03-2024 | 13:24
47,Madrid,Tetuan,Piso,2200.0,300,45,1,1,1,1,0,1,0,13ª,16-03-2024 | 13:24
48,Madrid,Salamanca,Piso,3800.0,700,163,3,4,1,1,0,0,0,5ª,16-03-2024 | 13:24
49,Madrid,Centro,Loft,2200.0,0,57,1,1,1,0,1,0,0,bajo,16-03-2024 | 13:24
50,Madrid,Chamartin,Piso,2200.0,0,132,2,2,1,0,1,0,0,10ª,16-03-2024 | 13:24
51,Madrid,San Blas,Piso,930.0,0,51,2,1,0,0,0,0,0,3ª,16-03-2024 | 13:24
52,Madrid,Chamberi,Piso,2900.0,0,160,3,3,1,0,1,0,0,1ª,16-03-2024 | 13:24
53,Madrid,Villaverde,Piso,965.0,0,55,2,2,1,1,1,0,0,1ª,16-03-2024 | 13:24
54,Madrid,Hortaleza,Piso,2100.0,0,135,2,3,1,1,0,1,0,4ª,16-03-2024 | 13:24
55,Madrid,Chamartin,Piso,5850.0,650,350,4,3,1,0,1,0,0,3ª,16-03-2024 | 13:24
56,Madrid,Hortaleza,Piso,1450.0,0,122,2,2,1,0,1,0,0,3ª,16-03-2024 | 13:24
57,Madrid,Centro,Ático,2850.0,150,110,3,2,1,1,0,1,0,,16-03-2024 | 13:24
58,Madrid,Centro,Ático,2650.0,200,150,4,3,1,0,1,0,0,,16-03-2024 | 13:24
59,Madrid,Tetuan,Piso,1800.0,0,92,2,2,1,0,0,0,0,bajo,16-03-2024 | 13:24
60,Madrid,Tetuan,Piso,3650.0,0,220,3,3,1,0,1,0,0,7ª,16-03-2024 | 13:25
61,Madrid,Ciudad Lineal,Piso,1300.0,0,78,2,2,1,0,1,0,0,7ª,16-03-2024 | 13:25
62,Madrid,Carabanchel,Piso,890.0,40,50,2,1,0,1,0,0,0,4ª,16-03-2024 | 13:25
63,Madrid,Tetuan,Estudio,1200.0,100,24,1,1,0,0,1,0,0,bajo,16-03-2024 | 13:25
64,Madrid,Moncloa-Aravaca,Piso,2300.0,0,251,4,3,1,1,1,0,0,1ª,16-03-2024 | 13:25
65,Madrid,Chamartin,Piso,3200.0,0,162,4,3,1,0,1,0,0,1ª,16-03-2024 | 13:25
66,Madrid,Usera,Piso,1160.0,0,68,3,1,0,1,0,0,0,,16-03-2024 | 13:25
67,Madrid,Chamberi,Piso,3300.0,0,210,4,3,1,0,1,0,0,3ª,16-03-2024 | 13:25
68,Madrid,Moncloa-Aravaca,Piso,2450.0,150,153,3,3,1,1,1,0,0,bajo,16-03-2024 | 13:25
69,Madrid,Chamartin,Piso,3500.0,250,272,5,5,1,0,1,0,0,2ª,16-03-2024 | 13:25
70,Madrid,Ciudad Lineal,Piso,1500.0,0,36,1,1,0,0,0,1,0,3ª,16-03-2024 | 13:25
71,Madrid,Moncloa-Aravaca,Piso,1750.0,0,116,2,2,1,1,0,0,0,5ª,16-03-2024 | 13:25
72,Madrid,Centro,Piso,1800.0,450,95,2,1,1,0,1,1,0,2ª,16-03-2024 | 13:25
73,Madrid,Ciudad Lineal,Piso,1100.0,100,83,2,1,1,1,0,0,0,2ª,16-03-2024 | 13:25
74,Madrid,Moncloa-Aravaca,Piso,1400.0,0,111,2,2,1,0,0,0,1,7ª,16-03-2024 | 13:25
75,Madrid,Centro,Piso,2100.0,0,110,2,2,0,0,1,1,0,2ª,16-03-2024 | 13:25
76,Madrid,Ciudad Lineal,Piso,2150.0,0,120,4,2,1,0,1,0,0,1ª,16-03-2024 | 13:25
77,Madrid,Usera,Apartamento,1060.0,0,58,3,1,0,1,0,0,0,3ª,16-03-2024 | 13:25
78,Madrid,Chamartin,Casa adosada,4500.0,0,200,4,4,0,0,1,0,0,,16-03-2024 | 13:25
79,Madrid,Centro,Piso,1700.0,0,67,1,1,1,0,1,0,0,2ª,16-03-2024 | 13:25
80,Madrid,Villaverde,Piso,1198.0,0,102,3,2,1,0,0,0,0,6ª,16-03-2024 | 13:25
81,Madrid,Ciudad Lineal,Piso,1800.0,0,135,5,2,0,1,0,0,0,bajo,16-03-2024 | 13:25
82,Madrid,Salamanca,Ático,2500.0,0,80,2,2,1,1,1,0,0,,16-03-2024 | 13:25
83,Madrid,Salamanca,Piso,3000.0,0,134,2,3,1,1,0,0,0,6ª,16-03-2024 | 13:25
84,Madrid,Chamartin,Piso,4200.0,0,213,4,3,1,1,1,0,0,,16-03-2024 | 13:25
85,Madrid,Moncloa-Aravaca,Casa adosada,3700.0,1000,320,5,6,0,1,0,1,1,,16-03-2024 | 13:25
86,Madrid,Salamanca,Dúplex,15000.0,0,440,5,5,1,1,0,1,0,,16-03-2024 | 13:25
87,Madrid,Tetuan,Ático,2000.0,0,180,2,2,0,1,1,0,0,5ª,16-03-2024 | 13:25
88,Madrid,Tetuan,Piso,1600.0,0,45,1,1,1,0,1,0,0,1ª,16-03-2024 | 13:25
89,Madrid,Chamberi,Piso,2000.0,0,147,4,3,1,1,0,0,0,1ª,16-03-2024 | 13:25
90,Madrid,Chamartin,Piso,1630.0,0,86,3,2,1,0,0,0,0,,16-03-2024 | 13:25
91,Madrid,Tetuan,Piso,1700.0,100,93,3,2,1,1,0,0,0,,16-03-2024 | 13:25
92,Madrid,Salamanca,Ático,2300.0,0,110,2,2,0,1,1,0,0,,16-03-2024 | 13:25
93,Madrid,Centro,Piso,2400.0,0,120,2,2,0,0,1,1,0,3ª,16-03-2024 | 13:25
94,Madrid,Retiro,Piso,1750.0,50,95,2,1,0,0,1,0,0,1ª,16-03-2024 | 13:25
95,Madrid,Salamanca,Piso,1750.0,50,110,3,1,1,0,0,0,0,,16-03-2024 | 13:25
96,Madrid,Arganzuela,Piso,1200.0,0,52,1,1,0,0,0,0,0,3ª,16-03-2024 | 13:25
97,Madrid,Fuencarral-El Pardo,Piso,1150.0,0,90,2,1,0,0,0,0,0,3ª,16-03-2024 | 13:25
98,Madrid,Fuencarral-El Pardo,Piso,1150.0,0,80,2,1,0,0,0,0,0,3ª,16-03-2024 | 13:25
99,Madrid,Chamberi,Piso,2650.0,0,209,4,2,1,0,0,0,0,,16-03-2024 | 13:25
100,Madrid,Centro,Piso,2000.0,0,71,2,1,0,0,0,0,0,15,16-03-2024 | 13:25
101,Madrid,Centro,Piso,1250.0,0,38,0,1,1,0,1,0,0,,16-03-2024 | 13:25
102,Madrid,Chamartin,Piso,1740.0,0,86,2,2,0,0,0,0,0,5ª,16-03-2024 | 13:25
103,Madrid,Chamberi,Apartamento,3200.0,300,160,3,2,1,0,0,0,0,,16-03-2024 | 13:25
104,Madrid,Barajas,Obra Nueva,1505.0,0,125,2,2,0,0,0,0,0,,16-03-2024 | 13:25
105,Madrid,Ciudad Lineal,Piso,1300.0,0,84,2,2,0,0,0,0,0,2ª,16-03-2024 | 13:25
106,Madrid,San Blas,Piso,1850.0,250,175,3,2,0,0,0,0,0,2ª,16-03-2024 | 13:25
107,Madrid,Tetuan,Piso,1500.0,0,45,1,1,1,0,0,0,0,,16-03-2024 | 13:25
108,Madrid,Villa de Vallecas,Obra Nueva,1215.0,0,80,2,2,0,0,0,0,0,3ª,16-03-2024 | 13:25
109,Madrid,Salamanca,Ático,1800.0,0,73,3,1,1,0,0,0,0,,16-03-2024 | 13:25
110,Madrid,Salamanca,Ático,4500.0,0,185,3,3,0,0,0,0,0,4ª,16-03-2024 | 13:25
111,Madrid,Moncloa-Aravaca,Piso,1100.0,0,50,1,1,0,0,0,0,0,5ª,16-03-2024 | 13:25
